Disease,Symptoms,Severity Level,Recommended Tests,Diet,lifestyle,remedies,medicines
Fever (General),"High temperature, chills, weakness",Mild to Moderate,"CBC, Blood Culture, Malaria Test","Balanced diet with fruits, vegetables, lean proteins, and whole grains","Regular sleep, avoid stress, stay physically active as per condition","Hydration, warm compress, rest, herbal teas if suitable","Consult physician; typically includes symptom-specific medicines, antibiotics, or antivirals"
Common Cold,"Sneezing, sore throat, runny nose", Mild to Moderate,"Clinical diagnosis, Rapid Antigen (Respiratory Panel)","Balanced diet with fruits, vegetables, lean proteins, and whole grains","Regular sleep, avoid stress, stay physically active as per condition","Hydration, warm compress, rest, herbal teas if suitable","Consult physician; typically includes symptom-specific medicines, antibiotics, or antivirals"
Flu (Influenza),"Fever, body aches, fatigue, dry cough", Mild to Moderate,"Rapid Flu Test, RT-PCR","Balanced diet with fruits, vegetables, lean proteins, and whole grains","Regular sleep, avoid stress, stay physically active as per condition","Hydration, warm compress, rest, herbal teas if suitable","Consult physician; typically includes symptom-specific medicines, antibiotics, or antivirals"
Dengue,"High fever, headache, joint pain, rash, low platelets",Severe (can be),"Dengue NS1, IgM/IgG, CBC","Balanced diet with fruits, vegetables, lean proteins, and whole grains","Regular sleep, avoid stress, stay physically active as per condition","Hydration, warm compress, rest, herbal teas if suitable","Consult physician; typically includes symptom-specific medicines, antibiotics, or antivirals"
Malaria,"Cyclical fever, chills, nausea, sweating",Severe (if delayed),"Peripheral Smear, Malaria Antigen","Balanced diet with fruits, vegetables, lean proteins, and whole grains","Regular sleep, avoid stress, stay physically active as per condition","Hydration, warm compress, rest, herbal teas if suitable","Consult physician; typically includes symptom-specific medicines, antibiotics, or antivirals"
Typhoid,"Continuous fever, abdominal pain, fatigue",Severe (if untreated),"Widal, Typhidot, Blood Culture","Soft, easily digestible foods, ORS, bananas, boiled potatoes","Complete rest, hydration, avoid heavy meals","ORS, basil tea, apple cider vinegar (diluted)","Ciprofloxacin, Azithromycin, Paracetamol"
Tuberculosis (TB),"Persistent cough, weight loss, night sweats",Severe,"Sputum Test, Chest X-ray, GeneXpert","Balanced diet with fruits, vegetables, lean proteins, and high-calorie intake","Avoid exposure, maintain hygiene, and take regular medication","Garlic, mint juice, and gooseberries","Isoniazid, Rifampicin (consult doctor)"
COVID-19,"Fever, cough, breathing difficulty, loss of taste/smell", Mild to Critical,"RT-PCR, Antigen Test, Chest CT","Nutritious food rich in vitamins, protein, and fluids","Isolate, stay active indoors, rest, hydrate","Steam inhalation, warm salt water gargles","Paracetamol, antivirals as prescribed"
Chikungunya,"Fever, rash, joint pain",Moderate,"Chikungunya IgM, RT-PCR","Hydrating foods, fruits, and high-protein meals","Rest, mosquito protection, hydration","Papaya leaf juice (traditional), turmeric milk","Paracetamol, NSAIDs (avoid aspirin)"
Zika Virus,"Fever, red eyes, rash, joint pain", Mild,"Zika RT-PCR, IgM Test","Hydrating fluids, leafy greens, lean proteins","Avoid mosquito bites, rest, hydrate","Neem, tulsi tea, rest","Symptomatic treatment, pain relief meds"
